Question No.,Actual Answers,Marked Answers,Right,Wrong,Unattended
QN 1,A,A,1,0,0
QN 2,C,C,1,0,0
QN 3,D,D,1,0,0
QN 4,B,A,0,1,0
QN 5,D,D,1,0,0
QN 6,C,B,0,1,0
QN 7,A,A,1,0,0
QN 8,A,A,1,0,0
QN 9,B,,0,0,1
QN 10,D,D,1,0,0
QN 11,A,D,0,1,0
QN 12,C,C,1,0,0
QN 13,D,,0,0,1
QN 14,B,B,1,0,0
QN 15,B,B,1,0,0
QN 16,D,D,1,0,0
QN 17,A,D,0,1,0
QN 18,C,C,1,0,0
QN 19,B,B,1,0,0
QN 20,A,A,1,0,0
